Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size	Sprint
Update the CI-CD for the new BE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/139	Corgam		2	devops, feature	CI/CD		Sprint 7
Refactor FE for new API endpoints	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/269	Lucas-Nan		2	feature, frontend		2	Sprint 7
Add argument to data pipeline to overwrite if_table_exists option	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/235	Superschnizel	P0	1	backend, feature	Data lake	2	Sprint 7
Fix the error while building data pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/253	Superschnizel		3	backend, bug	CI/CD	1	Sprint 7
Extend API Endpoints for Hausumringe	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/151	Ahsankkhan	P1	3	backend, feature, frontend	Automated energy assessment	3	Sprint 6
FE Searching: Only Germany	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/196	CelineMP	P0	1	feature, frontend	UI		
Trigger Data view only on button press	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/66	Corgam, Lucas-Nan	P2	1	feature, frontend	UI	1	Sprint 6
Clean Up data view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/214	Corgam	P1	3	Epic	UI	5	Sprint 6
Map interaction from search	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/183	CelineMP, Lucas-Nan	P1	2	feature, frontend	UI	2	Sprint 6
Ensure pin doesn't switch tabs	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/212	CelineMP	P1	1	bug	UI	2	Sprint 7
FE search and display polygon for specific region	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/195	CelineMP	P1	3	feature, frontend	UI	2	Sprint 7
Functionality to hide data view panel	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/247	CelineMP	P0	2	feature, frontend	UI	3	Sprint 7
The titles in the data view sections should be bold text	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/248	CelineMP	P0	1	feature, frontend	UI	1	Sprint 7
Update data sources documentation	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/167	dancingsushii	P0	3	organizational		0	Sprint 8
Transfer all meeting notes and other relevant documentation to GitHub	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/25	dancingsushii	P0	2	organizational			Sprint 6
Add linting and testing to backend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/208	nicolasbandel	P0	5	backend, feature	Data lake	5	Sprint 6
Review notes from IP meeting and develop PO's concept	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/82	dancingsushii	P0	2	organizational			Sprint 3
Documentation - FE technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/21	Lucas-Nan	P0	1	feature, frontend		1	Sprint 2
Research on FE RestAPI requirements	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/16	Lucas-Nan	P1	3	feature, frontend		2	Sprint 2
Setup basic React + NodeJS frontend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/14	CelineMP	P0	2	feature, frontend	UI	1	Sprint 2
Create FE Concept	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/18	CelineMP, dancingsushii, Lucas-Nan, op-hub	P0	3	feature, frontend		5	Sprint 2
Create boilerplate API project	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/38	Ahsankkhan	P0	5	backend, feature	Data lake	3	Sprint 2
Ingest Data [2]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/35	Ahsankkhan, Superschnizel	P0	3	backend, feature		3	Sprint 2
Request Deutsche Bahn dataset	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/37	Superschnizel	P0	1	backend, bug, feature		1	Sprint 2
API project docker file	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/54	Ahsankkhan	P0	3	backend, devops, feature	Data lake	3	Sprint 2
Ingest data [3]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/36	nicolasbandel	P0	3	backend, feature		3	Sprint 2
Ingest Data [1]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/34	Superschnizel	P0	3	backend, feature		2	Sprint 2
Get Backend container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/27	Corgam	P0	2	backend, devops, feature	Data lake	2	Sprint 2
Documentation -  CI/CD technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/23	Corgam	P1	1	devops, feature		1	Sprint 2
Get FE container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/26	Corgam	P0	2	devops, feature, frontend		2	Sprint 2
Initialize Github Wiki	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/20	Corgam	P0	1	feature		1	Sprint 2
Show search result on map	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/239	CelineMP	P1	3	feature, frontend	UI	3	Sprint 6
Remodelling the search bar	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/238	CelineMP	P1	3	feature, frontend	UI	3	Sprint 6
